Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
-0.7,Tue Apr 10 18:55:05 +0000 2018,0.756,0.244,0.0,7,@nytimes
-0.142,Tue Apr 10 18:45:07 +0000 2018,0.931,0.069,0.0,8,@nytimes
-0.402,Tue Apr 10 18:36:53 +0000 2018,0.837,0.163,0.0,9,@nytimes
-0.511,Tue Apr 10 18:33:48 +0000 2018,0.852,0.148,0.0,10,@nytimes
-0.572,Tue Apr 10 18:30:08 +0000 2018,0.684,0.228,0.087,11,@nytimes
0.0,Tue Apr 10 18:17:46 +0000 2018,1.0,0.0,0.0,12,@nytimes
0.402,Tue Apr 10 18:16:12 +0000 2018,0.895,0.0,0.105,13,@nytimes
-0.382,Tue Apr 10 18:10:07 +0000 2018,0.88,0.12,0.0,14,@nytimes
0.026,Tue Apr 10 17:55:05 +0000 2018,0.948,0.0,0.052,15,@nytimes
0.0,Tue Apr 10 17:40:06 +0000 2018,1.0,0.0,0.0,16,@nytimes
0.0,Tue Apr 10 17:27:14 +0000 2018,1.0,0.0,0.0,17,@nytimes
-0.542,Tue Apr 10 17:25:04 +0000 2018,0.829,0.171,0.0,18,@nytimes
-0.318,Tue Apr 10 17:10:07 +0000 2018,0.725,0.169,0.106,19,@nytimes
0.0,Tue Apr 10 16:55:04 +0000 2018,1.0,0.0,0.0,20,@nytimes
-0.128,Tue Apr 10 16:42:59 +0000 2018,0.683,0.169,0.149,21,@nytimes
0.0,Tue Apr 10 16:40:09 +0000 2018,1.0,0.0,0.0,22,@nytimes
0.0,Tue Apr 10 16:27:20 +0000 2018,1.0,0.0,0.0,23,@nytimes
0.226,Tue Apr 10 16:25:07 +0000 2018,0.821,0.068,0.111,24,@nytimes
0.0,Tue Apr 10 16:10:06 +0000 2018,1.0,0.0,0.0,25,@nytimes
0.34,Tue Apr 10 15:50:00 +0000 2018,0.882,0.0,0.118,26,@nytimes
-0.477,Tue Apr 10 15:40:11 +0000 2018,0.796,0.204,0.0,27,@nytimes
0.0,Tue Apr 10 15:30:09 +0000 2018,1.0,0.0,0.0,28,@nytimes
0.361,Tue Apr 10 15:27:06 +0000 2018,0.878,0.0,0.122,29,@nytimes
0.382,Tue Apr 10 15:20:09 +0000 2018,0.89,0.0,0.11,30,@nytimes
0.34,Tue Apr 10 15:10:08 +0000 2018,0.882,0.0,0.118,31,@nytimes
0.422,Tue Apr 10 15:00:11 +0000 2018,0.781,0.0,0.219,32,@nytimes
-0.649,Tue Apr 10 14:50:08 +0000 2018,0.807,0.193,0.0,33,@nytimes
-0.527,Tue Apr 10 14:40:13 +0000 2018,0.848,0.152,0.0,34,@nytimes
0.202,Tue Apr 10 14:30:17 +0000 2018,0.87,0.0,0.13,35,@nytimes
0.0,Tue Apr 10 14:15:06 +0000 2018,1.0,0.0,0.0,36,@nytimes
0.0,Tue Apr 10 14:00:04 +0000 2018,1.0,0.0,0.0,37,@nytimes
-0.296,Tue Apr 10 13:45:09 +0000 2018,0.885,0.115,0.0,38,@nytimes
0.0,Tue Apr 10 13:31:02 +0000 2018,1.0,0.0,0.0,39,@nytimes
0.494,Tue Apr 10 13:30:18 +0000 2018,0.756,0.0,0.244,40,@nytimes
-0.318,Tue Apr 10 08:50:05 +0000 2018,0.881,0.119,0.0,41,@nytimes
0.0,Tue Apr 10 08:49:33 +0000 2018,1.0,0.0,0.0,42,@nytimes
0.361,Tue Apr 10 08:45:06 +0000 2018,0.615,0.138,0.246,43,@nytimes
-0.103,Tue Apr 10 08:32:42 +0000 2018,0.803,0.106,0.091,44,@nytimes
0.361,Tue Apr 10 08:15:10 +0000 2018,0.878,0.0,0.122,45,@nytimes
0.382,Tue Apr 10 08:15:05 +0000 2018,0.86,0.0,0.14,46,@nytimes
-0.422,Tue Apr 10 08:02:02 +0000 2018,0.865,0.135,0.0,47,@nytimes
-0.66,Tue Apr 10 08:00:07 +0000 2018,0.794,0.206,0.0,48,@nytimes
0.422,Tue Apr 10 07:47:05 +0000 2018,0.865,0.0,0.135,49,@nytimes
0.0,Tue Apr 10 07:32:03 +0000 2018,1.0,0.0,0.0,50,@nytimes
-0.784,Tue Apr 10 07:17:05 +0000 2018,0.734,0.266,0.0,51,@nytimes
0.0,Tue Apr 10 07:02:03 +0000 2018,1.0,0.0,0.0,52,@nytimes
0.71,Tue Apr 10 06:53:54 +0000 2018,0.604,0.0,0.396,53,@nytimes
0.572,Tue Apr 10 06:47:28 +0000 2018,0.829,0.0,0.171,54,@nytimes
0.026,Tue Apr 10 06:30:16 +0000 2018,0.939,0.0,0.061,55,@nytimes
0.0,Tue Apr 10 06:12:49 +0000 2018,1.0,0.0,0.0,56,@nytimes
0.0,Tue Apr 10 05:55:31 +0000 2018,1.0,0.0,0.0,57,@nytimes
0.262,Tue Apr 10 05:38:23 +0000 2018,0.886,0.0,0.114,58,@nytimes
0.0,Tue Apr 10 05:21:04 +0000 2018,1.0,0.0,0.0,59,@nytimes
-0.681,Tue Apr 10 05:04:10 +0000 2018,0.616,0.384,0.0,60,@nytimes
0.0,Mon Apr 09 20:40:12 +0000 2018,1.0,0.0,0.0,61,@nytimes
0.026,Mon Apr 09 20:30:14 +0000 2018,0.769,0.114,0.117,62,@nytimes
0.026,Mon Apr 09 20:20:05 +0000 2018,0.939,0.0,0.061,63,@nytimes
0.0,Mon Apr 09 20:10:06 +0000 2018,1.0,0.0,0.0,64,@nytimes
-0.382,Mon Apr 09 20:06:34 +0000 2018,0.746,0.184,0.07,65,@nytimes
0.0,Mon Apr 09 20:04:49 +0000 2018,1.0,0.0,0.0,66,@nytimes
0.0,Mon Apr 09 20:02:36 +0000 2018,1.0,0.0,0.0,67,@nytimes
0.0,Mon Apr 09 20:00:09 +0000 2018,1.0,0.0,0.0,68,@nytimes
-0.557,Mon Apr 09 19:50:06 +0000 2018,0.816,0.184,0.0,69,@nytimes
0.361,Mon Apr 09 19:40:03 +0000 2018,0.889,0.0,0.111,70,@nytimes
0.0,Mon Apr 09 19:30:05 +0000 2018,1.0,0.0,0.0,71,@nytimes
-0.296,Mon Apr 09 19:20:06 +0000 2018,0.896,0.104,0.0,72,@nytimes
-0.649,Mon Apr 09 19:10:06 +0000 2018,0.798,0.202,0.0,73,@nytimes
0.813,Mon Apr 09 19:00:07 +0000 2018,0.72,0.0,0.28,74,@nytimes
0.0,Mon Apr 09 18:50:05 +0000 2018,1.0,0.0,0.0,75,@nytimes
-0.372,Mon Apr 09 18:40:03 +0000 2018,0.679,0.201,0.12,76,@nytimes
-0.44,Mon Apr 09 18:30:11 +0000 2018,0.884,0.116,0.0,77,@nytimes
-0.318,Mon Apr 09 18:20:03 +0000 2018,0.887,0.113,0.0,78,@nytimes
-0.402,Mon Apr 09 18:06:33 +0000 2018,0.886,0.114,0.0,79,@nytimes
0.0,Mon Apr 09 18:00:21 +0000 2018,1.0,0.0,0.0,80,@nytimes
0.599,Mon Apr 09 05:38:46 +0000 2018,0.754,0.0,0.246,81,@nytimes
0.273,Mon Apr 09 05:22:17 +0000 2018,0.826,0.0,0.174,82,@nytimes
-0.103,Mon Apr 09 05:04:14 +0000 2018,0.68,0.188,0.132,83,@nytimes
0.026,Mon Apr 09 04:46:38 +0000 2018,0.939,0.0,0.061,84,@nytimes
-0.226,Mon Apr 09 04:29:11 +0000 2018,0.821,0.113,0.067,85,@nytimes
-0.153,Mon Apr 09 04:12:01 +0000 2018,0.926,0.074,0.0,86,@nytimes
0.0,Mon Apr 09 03:52:37 +0000 2018,1.0,0.0,0.0,87,@nytimes
0.0,Mon Apr 09 03:48:06 +0000 2018,1.0,0.0,0.0,88,@nytimes
0.325,Mon Apr 09 03:30:11 +0000 2018,0.896,0.0,0.104,89,@nytimes
-0.44,Mon Apr 09 03:22:03 +0000 2018,0.606,0.26,0.134,90,@nytimes
0.402,Mon Apr 09 03:09:28 +0000 2018,0.748,0.0,0.252,91,@nytimes
0.612,Mon Apr 09 03:02:57 +0000 2018,0.792,0.0,0.208,92,@nytimes
-0.691,Mon Apr 09 02:45:12 +0000 2018,0.793,0.207,0.0,93,@nytimes
0.0,Mon Apr 09 02:26:53 +0000 2018,1.0,0.0,0.0,94,@nytimes
0.278,Mon Apr 09 02:07:29 +0000 2018,0.823,0.064,0.113,95,@nytimes
0.422,Mon Apr 09 01:51:57 +0000 2018,0.797,0.0,0.203,96,@nytimes
-0.103,Mon Apr 09 01:39:49 +0000 2018,0.68,0.188,0.132,97,@nytimes
0.026,Mon Apr 09 01:20:33 +0000 2018,0.939,0.0,0.061,98,@nytimes
0.34,Mon Apr 09 01:03:51 +0000 2018,0.821,0.0,0.179,99,@nytimes
0.735,Mon Apr 09 00:57:20 +0000 2018,0.725,0.0,0.275,100,@nytimes
